case,adapter,repeat_index,artifact_count,status,hardware_required,commercial_dependency_required,artifact_signature,manifest_present,acceptance_report_present,validation_report_present,duration_s
rq2_ngspice_minimal,ngspice,1,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.0328818
rq2_ngspice_minimal,ngspice,2,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.0287603
rq2_ngspice_minimal,ngspice,3,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.0293165
rq2_ngspice_minimal,ngspice,4,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.0315026
rq2_ngspice_minimal,ngspice,5,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.029128
rq2_ngspice_minimal,ngspice,6,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.0312164
rq2_ngspice_minimal,ngspice,7,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.029854
rq2_ngspice_minimal,ngspice,8,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.0299167
rq2_ngspice_minimal,ngspice,9,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.0300379
rq2_ngspice_minimal,ngspice,10,79,PASS,False,False,4a3f753084ff7c53c1267a9b001ebdc49786488a756f5713d692426b01b52897,True,True,True,0.0294348
rq2_cfb_sample,ngspice,1,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.00548983
rq2_cfb_sample,ngspice,2,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.00507813
rq2_cfb_sample,ngspice,3,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.00474629
rq2_cfb_sample,ngspice,4,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.00498117
rq2_cfb_sample,ngspice,5,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.00539725
rq2_cfb_sample,ngspice,6,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.004709
rq2_cfb_sample,ngspice,7,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.00525013
rq2_cfb_sample,ngspice,8,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.0045935
rq2_cfb_sample,ngspice,9,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.00441438
rq2_cfb_sample,ngspice,10,4,PASS,False,False,a76ad83008fa321715c21175671ebbaf8b22a9744b159bbf2a1741c313fe6cff,True,True,True,0.00506971
rq2_icarus,icarus,1,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0350701
rq2_icarus,icarus,2,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0351878
rq2_icarus,icarus,3,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0334155
rq2_icarus,icarus,4,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0356556
rq2_icarus,icarus,5,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0353437
rq2_icarus,icarus,6,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0355449
rq2_icarus,icarus,7,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0353506
rq2_icarus,icarus,8,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0343406
rq2_icarus,icarus,9,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0336223
rq2_icarus,icarus,10,90,PASS,False,False,d2bf48c9454297189adefcd79c35912a66051ebfc6a6f75d07e6e50a9a30c0bc,True,True,True,0.0351795
rq2_verilator,verilator,1,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.032837
rq2_verilator,verilator,2,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.0305682
rq2_verilator,verilator,3,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.0290292
rq2_verilator,verilator,4,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.0304406
rq2_verilator,verilator,5,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.0292344
rq2_verilator,verilator,6,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.0294968
rq2_verilator,verilator,7,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.0299833
rq2_verilator,verilator,8,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.029383
rq2_verilator,verilator,9,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.0319252
rq2_verilator,verilator,10,78,PASS,False,False,d9682c6fb08708444b42bc277fe273b112a750c51f27bffc00e62377d2e87e40,True,True,True,0.03067
rq2_yosys,yosys,1,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.0524125
rq2_yosys,yosys,2,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.049904
rq2_yosys,yosys,3,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.050443
rq2_yosys,yosys,4,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.0520636
rq2_yosys,yosys,5,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.0484233
rq2_yosys,yosys,6,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.052646
rq2_yosys,yosys,7,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.0503413
rq2_yosys,yosys,8,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.0512735
rq2_yosys,yosys,9,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.0511715
rq2_yosys,yosys,10,132,PASS,False,False,618db053bb56fcb65239451e97523e903d3102949570927c8fc2a203940b5b49,True,True,True,0.0492458
