case_id,defect_id,category,defect,injection,expected_error_code,detected_error_code,detected_error_codes,severity,critical,case_path,detected,correct_classification,false_pass,status
D01-01,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_01,yes,yes,0,PASS
D01-02,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_02,yes,yes,0,PASS
D01-03,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_03,yes,yes,0,PASS
D01-04,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_04,yes,yes,0,PASS
D01-05,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_05,yes,yes,0,PASS
D01-06,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_06,yes,yes,0,PASS
D01-07,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_07,yes,yes,0,PASS
D01-08,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_08,yes,yes,0,PASS
D01-09,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_09,yes,yes,0,PASS
D01-10,D01,Structural,missing artifact,delete required log artifact,MISSING_ARTIFACT,MISSING_ARTIFACT,MISSING_ARTIFACT,5,true,examples/corrupted_artifact_cases_extended/d01/case_10,yes,yes,0,PASS
