scale,repeat,artifact_rows,measured_total_runtime_s,allocated_ingest_time_s,allocated_validate_time_s,allocated_claim_check_time_s,allocated_report_time_s,allocated_package_time_s,estimated_peak_memory_mb,measured_output_size_mb,artifact_rows_per_second,manifest_signature,status
1000,1,1000,0.00672058,0.00302426,0.00168015,0.00100809,0.000672058,0.000336029,32,0.14753,148797,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,2,1000,0.00573908,0.00258259,0.00143477,0.000860862,0.000573908,0.000286954,32,0.14753,174244,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,3,1000,0.00560475,0.00252214,0.00140119,0.000840713,0.000560475,0.000280238,32,0.14753,178420,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,4,1000,0.00726846,0.00327081,0.00181711,0.00109027,0.000726846,0.000363423,32,0.14753,137581,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,5,1000,0.00604667,0.002721,0.00151167,0.000907,0.000604667,0.000302333,32,0.14753,165380,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,6,1000,0.0333006,0.0149853,0.00832515,0.00499509,0.00333006,0.00166503,32,0.14753,30029.5,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,7,1000,0.00689871,0.00310442,0.00172468,0.00103481,0.000689871,0.000344935,32,0.14753,144955,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,8,1000,0.0127197,0.00572387,0.00317993,0.00190796,0.00127197,0.000635985,32,0.14753,78618.2,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,9,1000,0.00772733,0.0034773,0.00193183,0.0011591,0.000772733,0.000386367,32,0.14753,129411,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
1000,10,1000,0.00661008,0.00297454,0.00165252,0.000991513,0.000661008,0.000330504,32,0.14753,151284,5221f44c606e85078d013639a3ad7670c3aed395989e649c2c806bd6106943ed,PASS
3000,1,3000,0.0287838,0.0129527,0.00719595,0.00431757,0.00287838,0.00143919,32,0.444122,104225,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,2,3000,0.021228,0.0095526,0.005307,0.0031842,0.0021228,0.0010614,32,0.444122,141323,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,3,3000,0.0212176,0.00954791,0.0053044,0.00318264,0.00212176,0.00106088,32,0.444122,141392,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,4,3000,0.0154175,0.00693787,0.00385437,0.00231262,0.00154175,0.000770875,32,0.444122,194584,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,5,3000,0.0174182,0.00783818,0.00435454,0.00261273,0.00174182,0.000870908,32,0.444122,172234,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,6,3000,0.0164054,0.00738244,0.00410135,0.00246081,0.00164054,0.000820271,32,0.444122,182866,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,7,3000,0.015645,0.00704025,0.00391125,0.00234675,0.0015645,0.00078225,32,0.444122,191755,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,8,3000,0.0159856,0.00719353,0.00399641,0.00239784,0.00159856,0.000799281,32,0.444122,187669,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,9,3000,0.0151425,0.00681414,0.00378564,0.00227138,0.00151425,0.000757127,32,0.444122,198117,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
3000,10,3000,0.014972,0.0067374,0.003743,0.0022458,0.0014972,0.0007486,32,0.444122,200374,004928fd2a97f3603627b2c2192fd64d7acf7533858ed745ce46bd6d08c299ea,PASS
